identifier,05_CP_PA_-Fe/+Fe__MEAN,05_CP_PA_-Fe/+Fe__STD,01_WC_PH_-Fe/+Fe__MEAN,01_WC_PH_-Fe/+Fe__STD,06_PA/PH__MEAN,06_PA/PH__STD,02_WC_PA_-Fe/+Fe__MEAN,02_WC_PA_-Fe/+Fe__STD,03_WC_PA/PH__MEAN,03_WC_PA/PH__STD,04_CP_PH_-Fe/+Fe__MEAN,04_CP_PH_-Fe/+Fe__STD
"Cre16.g660150.t1.1|PACid:19861635__Cre16.g660200.t1.1|PACid:19861136",-0.283120360937,0.0892516609428,-1.00578893421,0.303040288089,-1.30118884676,0.127029858276,-0.555840268102,0.001,-0.602334034924,0.272197808278,0.737523291744,0.513904830665
"Cre13.g586300.t1.1|PACid:19869874",-0.544677901921,0.268666112763,0.818913800774,0.187768189917,-0.719533051677,0.0169359545964,-0.999434910304,0.377894322417,-0.248105818255,0.538826281298,-0.0499616669618,0.714262986189
"Cre17.g712400.t1.1|PACid:19867088",0.137233792622,0.001,0.735740292363,0.001,-1.35250002585,0.0474303732087,-0.158671546429,0.001,-1.01348229195,0.001,0.089312433843,0.0701061591647
"Cre03.g164700.t1.1|PACid:19871742",-0.0616724045164,0.196999250876,-0.666684676144,0.691431486121,-0.169889304033,0.350667651696,-1.19580152464,0.646609895735,0.164294235932,0.477257524649,-0.106672982017,0.27939782033
"Cre06.g259850.t1.1|PACid:19863870",-0.792093719662,0.176731006086,-1.30776756116,0.216124593747,-0.227173782799,0.117858521789,-0.923940272806,0.343725855339,-0.0436517253221,0.189219371498,-0.447381429122,0.0150409819246
"Cre13.g605150.t1.1|PACid:19870280",-0.127103633546,0.911450209207,1.58939773965,0.0610928062383,-0.580623092656,0.385014485496,-0.545563078405,0.0906605957154,0.0427567080375,0.245612722093,0.976805931435,0.419532516593
"Cre05.g237400.t1.1|PACid:19868051",-0.875345539123,0.25079407864,-0.0994644910678,0.0853542945063,-0.541863877989,0.371243409478,-0.951817549482,0.164859717267,-0.63505847329,0.414585548624,0.239195284704,0.341776296169
"Cre12.g556250.t1.1|PACid:19875282",1.49226345497,0.63681385828,0.367413913539,0.001,-1.28225327152,0.299900719678,2.15280181953,0.001,-0.847585810817,1.11294614494,0.748159176173,1.48328344697
"Cre02.g126450.t1.1|PACid:19868832",-0.157573306015,0.0750656647093,-1.60729765681,0.490312292386,-0.539391443235,0.001,0.188342976261,0.0761992399348,0.108337497456,0.371040117049,0.579658554012,0.317710163529
"Cre07.g331550.t1.1|PACid:19859714",-0.529106087262,0.169225441344,-0.11223462886,0.122698051148,-0.802511691559,0.166313336742,-0.183086591628,0.498628521688,-0.842865319458,0.267198340058,0.780298221046,0.377417700643
"NCBI|BK000554.2|DAA00950.1|28269772|TPA_inf: TPA_exp: ribulose bisphosphate carboxylase large subunit [Chlamydomonas reinhardtii].",-0.29382634599,0.301587476316,-0.989250873568,0.358825627305,-0.461798841659,0.290220966376,-1.69133963688,1.02941995706,-0.5971055136,0.420569841174,-0.0618254358298,0.368346305882
"Cre11.g467700.t1.1|PACid:19860058",-1.26775919672,0.0920357856373,-2.03500932165,0.500072017603,-1.07177450312,0.207607284045,-1.78810072202,0.0448437024381,-0.800611624571,0.145758423685,-1.38592084715,0.584361906447
"Cre04.g213250.t1.1|PACid:19873404",-0.342621849883,0.0437420634243,0.347018470577,0.178738384452,-0.939297088311,0.362328919534,-0.303081915075,0.347616458675,-0.829581374563,0.209835120714,0.878788309236,0.24667907624
"Cre16.g680000.t1.1|PACid:19861907",0.353752200531,0.512599628984,-0.187270682041,0.366488180955,-0.910610446346,0.209858492959,0.455888313014,0.1510825437,-0.264983085425,0.164008382155,0.833098586089,0.130049971957
"Cre09.g415700.t1.1|PACid:19862472",-1.35027982218,0.526200258793,-0.860539126489,0.908366874844,0.862697388166,0.685363749686,-1.45706214359,0.258365858973,1.30696563866,0.391839770149,-0.767676988535,0.181486287805
"Cre12.g497850.t1.1|PACid:19873891",-0.212608631656,0.128402302628,-0.773768143497,0.573728983548,-0.185187563084,0.22864601139,-1.19285138172,0.176943372238,-0.60183970197,0.086663202511,-0.327262421714,0.196511363977
"Cre12.g560300.t1.1|PACid:19875125",1.09596043027,0.001,0.442896749282,0.936999766678,-0.939118792954,0.001,0.244036203235,0.221835193084,-0.541063752473,0.273454012993,0.0297393525332,0.902299278578
"Cre03.g166050.t1.1|PACid:19871775",0.108611210359,0.239426760349,1.80351357619,0.481720020948,-0.324262188889,0.231788826486,0.105106409452,0.57751845144,0.397964833252,0.121635353099,-0.783298630827,0.801001999207
"Cre11.g467400.t1.1|PACid:19859960",-0.095353893602,0.284266969577,-0.241468259814,0.001,-0.241165890689,0.552344305787,-0.746616256658,0.001,-0.450375327088,0.318283006123,-0.752976980255,0.837244360844
